Contry,Covid_Data
Afghanistan,"{'confired': 180741, 'deaths': 7709, 'recovered': 163215}"
Albania,"{'confired': 276518, 'deaths': 3497, 'recovered': 272736}"
Algeria,"{'confired': 265909, 'deaths': 6875, 'recovered': 178428}"
Andorra,"{'confired': 43224, 'deaths': 153, 'recovered': 42810}"
Angola,"{'confired': 99194, 'deaths': 1900, 'recovered': 97149}"
Anguilla,"{'confired': 3342, 'deaths': 9, 'recovered': 3311}"
Antigua and Barbuda,"{'confired': 8378, 'deaths': 138, 'recovered': 8019}"
Argentina,"{'confired': 9276618, 'deaths': 128973, 'recovered': 8895999}"
Armenia,"{'confired': 423006, 'deaths': 8629, 'recovered': 412661}"
Aruba,"{'confired': 37975, 'deaths': 216, 'recovered': 37058}"
Australia,"{'confired': 7508845, 'deaths': 8860, 'recovered': 7238735}"
Austria,"{'confired': 4274905, 'deaths': 18682, 'recovered': 4219119}"
Azerbaijan,"{'confired': 792785, 'deaths': 9713, 'recovered': 783019}"
Bahamas,"{'confired': 35132, 'deaths': 811, 'recovered': 33182}"
Bahrain,"{'confired': 590806, 'deaths': 1489, 'recovered': 583603}"
Bangladesh,"{'confired': 1953812, 'deaths': 29131, 'recovered': 1904771}"
Barbados,"{'confired': 81800, 'deaths': 466, 'recovered': 80046}"
Belarus,"{'confired': 982867, 'deaths': 6978, 'recovered': 'N/A'}"
Belgium,"{'confired': 4164698, 'deaths': 31799, 'recovered': 4070314}"
Belize,"{'confired': 60493, 'deaths': 678, 'recovered': 58195}"
Benin,"{'confired': 26952, 'deaths': 163, 'recovered': 25506}"
Bermuda,"{'confired': 15428, 'deaths': 138, 'recovered': 14901}"
Bhutan,"{'confired': 59636, 'deaths': 21, 'recovered': 59607}"
Bolivia,"{'confired': 910832, 'deaths': 21949, 'recovered': 873337}"
Bosnia and Herzegovina,"{'confired': 378054, 'deaths': 15791, 'recovered': 'N/A'}"
Botswana,"{'confired': 310431, 'deaths': 2701, 'recovered': 304887}"
